Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
74,,,4122010492,0,01/07/2022,710,1806,Ritebite Work-Out Choco Almond 50G,59.34,9.0%,5.33,9.0%,5.33,-,-,-,-,-,-,27,PC,1,70.0,Cash
75,,,4122010492,0,01/07/2022,710,2103,Zorabian Seekh Kabab 250 Gm,160.72,6.0%,9.64,6.0%,9.64,-,-,-,-,-,-,27,PC,1,180.0,Cash
76,,,4122010492,0,01/07/2022,710,,Dilly,45,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,45.0,Cash
77,,,4122010493,0,01/07/2022,3835,,Carry Bag Big,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
78,,,4122010493,0,01/07/2022,3835,, Keloggs Froot loops,1050,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,1050.0,Cash
79,,,4122010493,0,01/07/2022,3835,,shreenath mix cherry tomato,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
80,,,4122010493,0,01/07/2022,3835,,Shreenath Mix Lettuce,100,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,100.0,Cash
81,,,4122010493,0,01/07/2022,3835,,3045140105502,185,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,185.0,Cash
82,,,4122010493,0,01/07/2022,3835,18069010,Zevic Stevia Chocolate Roasted Coffee Beans 40gm,131.36,9.0%,11.82,9.0%,11.82,-,-,-,-,-,-,27,PC,1,155.0,Cash
83,,,4122010493,0,01/07/2022,3835,,Lexus,745,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,745.0,Cash
84,,,4122010493,0,01/07/2022,3835,1806,Jb Choc Coin 210 Gm Plcnt Gold [Mouldd],254.24,9.0%,22.88,9.0%,22.88,-,-,-,-,-,-,27,PC,1,300.0,Cash
85,,,4122010493,0,01/07/2022,3835,19053100,Meiji aHello Panda biscuits with chocolate f 50 gm,169.5,9.0%,15.25,9.0%,15.25,-,-,-,-,-,-,27,PC,2,100.0,Cash
86,,,4122010493,0,01/07/2022,3835,,Hershey's strawberry milk shake,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
87,,,4122010493,0,01/07/2022,3835,1806,Amul Dark Chocolate 150 Gms,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,1,100.0,Cash
88,,,4122010493,0,01/07/2022,3835,1806,Amul Tropical Orange Chocolate 150Gms,105.94,9.0%,9.53,9.0%,9.53,-,-,-,-,-,-,27,PC,1,125.0,Cash
89,,,4122010493,0,01/07/2022,3835,,Coffee Truffle 90,127.12,9.0%,11.44,9.0%,11.44,-,-,-,-,-,-,27,PC,1,150.0,Cash
90,,,4122010493,0,01/07/2022,3835,22029030,paper boat drinks and memories apple 200 ml,35.72,6.0%,2.14,6.0%,2.14,-,-,-,-,-,-,27,PC,2,20.0,Cash
91,,,4122010493,0,01/07/2022,3835,22029030,PB Aamras Drink 250 Ml,62.5,6.0%,3.75,6.0%,3.75,-,-,-,-,-,-,27,PC,2,35.0,Cash
92,,,4122010493,0,01/07/2022,3835,,Butter Caramal Biscuits,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
93,,,4122010493,0,01/07/2022,3835,1806,Sapphire 200 Gm Tin Cranberry Covered With Milk Chocolate [Mouldd],381.36,9.0%,34.32,9.0%,34.32,-,-,-,-,-,-,27,PC,1,450.0,Cash
94,,,4122010494,0,01/07/2022,30,2105,Kwality Walls Feast Choco Bar Mini 30G,25.44,9.0%,2.28,9.0%,2.28,-,-,-,-,-,-,27,PC,3,10.0,Cash
95,,,4122010495,0,01/07/2022,430,,Mccain Chilli Cheesy Nuggets 400 Gm,383.94,6.0%,23.03,6.0%,23.03,-,-,-,-,-,-,27,PC,2,215.0,Cash
96,,,4122010496,0,01/07/2022,96,,Chings  wholw wheat hakka noodles,85.72,6.0%,5.14,6.0%,5.14,-,-,-,-,-,-,27,PC,3,32.0,Cash
97,,,4122010497,0,01/07/2022,65,,Rite Bite Almond Apricot bar,65,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,65.0,Cash
98,,Dunzo,4122010498,0,01/07/2022,185,09092220,Pro Nature Orga Corriander Seeds 100 Gms,85.72,2.5%,2.14,2.5%,2.14,-,-,-,-,-,-,27,PC,2,45.0,Cash
99,,Dunzo,4122010498,0,01/07/2022,185,,ginger,15,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,7.5,Cash
100,,Dunzo,4122010498,0,01/07/2022,185,,onion,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,40.0,Cash
101,,,4122010499,0,01/07/2022,864,1806,Ferrero Rocher 3T 37.5gm,101.7,9.0%,9.15,9.0%,9.15,-,-,-,-,-,-,27,PC,1,120.0,Cash
102,,,4122010499,0,01/07/2022,864,2209,Fruitella Strawberry,53.58,6.0%,3.21,6.0%,3.21,-,-,-,-,-,-,27,PC,1,60.0,Cash
103,,,4122010499,0,01/07/2022,864,2209,Fruitella Blueberry ,53.58,6.0%,3.21,6.0%,3.21,-,-,-,-,-,-,27,PC,1,60.0,Cash
104,,,4122010499,0,01/07/2022,864,,SKITTLES WILDBERRY 45G,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
105,,,4122010499,0,01/07/2022,864,17049090,Sour Punk Strawberry 40 gm,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
106,,,4122010499,0,01/07/2022,864,,SOUR PUNK BLUEBERRY 40 g,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
107,,,4122010499,0,01/07/2022,864,,"Hershey""S Kisses Almonds 33.6gm",42.38,9.0%,3.81,9.0%,3.81,-,-,-,-,-,-,27,PC,1,50.0,Cash
108,,,4122010499,0,01/07/2022,864,1806,Amul Milk Chocolate  150 G,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,1,100.0,Cash
109,,,4122010499,0,01/07/2022,864,,Galaxy Fruit & Nut,75,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,75.0,Cash
110,,,4122010499,0,01/07/2022,864,,SE Didier & Frank 100gm Rich & Creamy Milk,211.02,9.0%,18.99,9.0%,18.99,-,-,-,-,-,-,27,PC,1,249.0,Cash
111,,,4122010500,0,01/07/2022,60,2105,Kwality Walls Feast Chocolate 62gm,50.86,9.0%,4.57,9.0%,4.57,-,-,-,-,-,-,27,PC,2,30.0,Cash
112,,,4122010501,0,01/07/2022,748,,shin ramyun,258,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,129.0,Cash
113,,,4122010501,0,01/07/2022,748,,Samyang Cheese Hot Chicken Ramen Noodle 140 gm,223.22,6.0%,13.39,6.0%,13.39,-,-,-,-,-,-,27,PC,2,125.0,Cash
114,,,4122010501,0,01/07/2022,748,,coca cola vanilla,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
115,,,4122010501,0,01/07/2022,748,,Fanta Laici & Lychee,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
116,,,4122010502,0,01/07/2022,2250,,Park Avenue,199,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,199.0,Cash
117,,,4122010502,0,01/07/2022,2250,, Carry Bag Small,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
118,,,4122010502,0,01/07/2022,2250,,Fruit & Vegetables,560,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,560.0,Cash
119,,,4122010502,0,01/07/2022,2250,,Rostaa Rosted Salted Pistachios 170 gm,428.58,6.0%,25.71,6.0%,25.71,-,-,-,-,-,-,27,PC,1,480.0,Cash
120,,,4122010502,0,01/07/2022,2250,,Shreenath Lemongrass,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
121,,,4122010502,0,01/07/2022,2250,,Shreenath Baby Potato,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
122,,,4122010502,0,01/07/2022,2250,,bonny fruit ,185,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,185.0,Cash
123,,,4122010502,0,01/07/2022,2250,210690,Tong Garden Salted Cashew Nuts 160gm,290.18,6.0%,17.41,6.0%,17.41,-,-,-,-,-,-,27,PC,1,325.0,Cash
124,,,4122010502,0,01/07/2022,2250,1106,Pro Nature Organic White Rajma 500G,152.4,2.5%,3.8,2.5%,3.8,-,-,-,-,-,-,27,PC,1,160.0,Cash
125,,,4122010502,0,01/07/2022,2250,,Brinjal,12,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,12.0,Cash
126,,,4122010502,0,01/07/2022,2250,,Muskmelon,60,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,60.0,Cash
127,,,4122010502,0,01/07/2022,2250,,Tomato,46,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,46.0,Cash
128,,,4122010502,0,01/07/2022,2250,,Bharta brinjal,18,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,18.0,Cash
129,,,4122010502,0,01/07/2022,2250,,Watermelon,75,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,75.0,Cash
130,,,4122010502,0,01/07/2022,2250,1902,Wai Wai [Insndl] 6*75Gm Pph X-Press Instnodl Masala Delight+Rs-10 Save,50.86,9.0%,4.57,9.0%,4.57,-,-,-,-,-,-,27,PC,1,60.0,Cash
131,,,4122010503,0,01/07/2022,105,,PREDATOR,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
132,,,4122010503,0,01/07/2022,105,22029990,Hell Energy Drink 250 ml,42.98,14.0%,6.01,14.0%,6.01,-,-,-,-,-,-,27,PC,1,55.0,Cash
133,,,4122010504,0,01/07/2022,20,2201,Kinley Packaged Drinking Water 1 Ltr,16.96,9.0%,1.52,9.0%,1.52,-,-,-,-,-,-,27,PC,1,20.0,Cash
134,,Dunzo,4122010505,0,01/07/2022,574,,717273501751,165,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,165.0,Cash
135,,Dunzo,4122010505,0,01/07/2022,574,,Shreenath Baby Spinach,40,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,40.0,Cash
136,,Dunzo,4122010505,0,01/07/2022,574,,Borges Balsamic Modena vinager,250,9.0%,22.5,9.0%,22.5,-,-,-,-,-,-,27,PC,1,295.0,Cash
137,,Dunzo,4122010505,0,01/07/2022,574,0910,Veeba English Mustrd,66.08,6.0%,3.96,6.0%,3.96,-,-,-,-,-,-,27,PC,1,74.0,Cash
138,,,4122010506,0,01/07/2022,479,,cream crackers,99,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,99.0,Cash
139,,,4122010506,0,01/07/2022,479,,Sugar Crackers,190,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,190.0,Cash
140,,,4122010506,0,01/07/2022,479,,Creem Crackers,190,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,190.0,Cash
141,,,4122010507,0,01/07/2022,4204,, Carry Bag Small,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
142,,,4122010507,0,01/07/2022,4204,,Gudiva,525,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,525.0,Cash
143,,,4122010507,0,01/07/2022,4204,,Gudiva/Roasted Almond Dark Chocolate,525,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,525.0,Cash
144,,,4122010507,0,01/07/2022,4204,,Gudiva Sea Salt Dark Chocolate,525,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,525.0,Cash
145,,,4122010507,0,01/07/2022,4204,1806,Lindt Swiss Classic Milk Chocolate 100G,296.62,9.0%,26.69,9.0%,26.69,-,-,-,-,-,-,27,PC,1,350.0,Cash
146,,,4122010507,0,01/07/2022,4204,1704,Lindt Lindor Irrsist Smoth Hazelnut 100G,296.62,9.0%,26.69,9.0%,26.69,-,-,-,-,-,-,27,PC,1,350.0,Cash
147,,,4122010507,0,01/07/2022,4204,,Ferrero Rocher T -48,1899,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,1899.0,Cash
148,,Dunzo,4122010508,0,01/07/2022,720,1905,Burger Bun,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,25.0,Cash
149,,Dunzo,4122010508,0,01/07/2022,720,,Sumeru Pork Cocktail Sausages,218.76,6.0%,13.12,6.0%,13.12,-,-,-,-,-,-,27,PC,1,245.0,Cash
150,,Dunzo,4122010508,0,01/07/2022,720,0710,Mccain French Fries 540 Gms,93.76,6.0%,5.62,6.0%,5.62,-,-,-,-,-,-,27,PC,1,105.0,Cash
151,,Dunzo,4122010508,0,01/07/2022,720,2100,Habit Baked Beans 450 gm,107.16,6.0%,6.42,6.0%,6.42,-,-,-,-,-,-,27,PC,1,120.0,Cash
152,,Dunzo,4122010508,0,01/07/2022,720,,Heinz Beanz. 415 gm,150,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,150.0,Cash
