,,,,,,,,,,,SalesReport,,,,,,,,,,,,,
,,,No of Invoices,,No of Recipients for Invoices,Total Invoice Value,,,Total Taxable Value for Invoices,,Total SGST/UTGST for Invoices,,Total CGST for Invoices,,Total IGST for Invoices,,Total CESS for Invoices,,Total Additional CESS for Invoices,,,,,
,,,2517,,3,1033947.87,,,964198.06,,34610.81,,34610.81,,0,,528.04,,0.15,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,No of Memo,,No of Recipient for Memo,Total Memo Value,,,Total Taxable Val for Memo,,Total SGST/UTGST for Memo,,Total CGST for Memo,,Total IGST for Memo,,Total CESS for Memo,,Total Additional CESS for Memo,,,,,
,,,0,,0,0,,,0,,0,,0,,0,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
61,,,4121022497,0,01-02-2022,44.5,19059020,Dukes Waffy Pineapple 75Gms,19.08,9.00%,1.71,9.00%,1.71,-,-,-,-,-,-,27,PC,1,22.5,Cash
62,,,4121022498,0,01-02-2022,330,,Pocky,110,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,110,Cash
63,,,4121022498,0,01-02-2022,330,,Pocky,110,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,110,Cash
64,,,4121022498,0,01-02-2022,330,,Pocky,110,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,110,Cash
65,,zeta,4121022499,0,01-02-2022,235,2103,salsalito salsa dip 300 g,133.94,6.00%,8.03,6.00%,8.03,-,-,-,-,-,-,27,PC,1,150,Cash
66,,zeta,4121022499,0,01-02-2022,235,,Makino,85,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,85,Cash
67,,,4121022500,0,01-02-2022,45,1905,Fiesta White Bread,45,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,45,Cash
68,,,4121022501,0,01-02-2022,885,,Magic Pops,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,10,Cash
69,,,4121022501,0,01-02-2022,885,1806,Weikfield Drinking Chocolate 100 Gm Bottle,237.3,9.00%,21.35,9.00%,21.35,-,-,-,-,-,-,27,PC,4,70,Cash
70,,,4121022501,0,01-02-2022,885,1805,Weikfield Cocoa Powder 50 Gms,457.04,14.00%,63.98,14.00%,63.98,-,-,-,-,-,-,27,PC,9,65,Cash
